%: table_doi: 10.17182/hepdata.68361.v1/t5
%: name: Table 5
%: description: QpPb CL1.

%: data_file: Table5.yaml
%: keyword reactions: P PB --> CHARGED X
%: keyword observables: DN/DPT
%: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence
%: $p_{T}$ (GeV/c),,,$Q_{pPb}$
%'$p_{T}$ (GeV/c)','$p_{T}$ (GeV/c) LOW','$p_{T}$ (GeV/c) HIGH','(0-5%)','stat +','stat -','sys +','sys -','sys,Common syst. unc. on TpA +','sys,Common syst. unc. on TpA -','sys,Common syst. unc. on Normalization +','sys,Common syst. unc. on Normalization -'
1.25,1.2,1.3,0.9912,0.0009,-0.0009,0.0876,-0.0876,0.034,-0.034,0.036,-0.036
1.35,1.3,1.4,1.0373,0.0011,-0.0011,0.0915,-0.0915,0.034,-0.034,0.036,-0.036
1.45,1.4,1.5,1.0785,0.0013,-0.0013,0.0905,-0.0905,0.034,-0.034,0.036,-0.036
1.55,1.5,1.6,1.1187,0.0014,-0.0014,0.0936,-0.0936,0.034,-0.034,0.036,-0.036
1.65,1.6,1.7,1.1533,0.0016,-0.0016,0.0981,-0.0981,0.034,-0.034,0.036,-0.036
1.75,1.7,1.8,1.1941,0.0018,-0.0018,0.1009,-0.1009,0.034,-0.034,0.036,-0.036
1.85,1.8,1.9,1.2305,0.0021,-0.0021,0.1027,-0.1027,0.034,-0.034,0.036,-0.036
1.95,1.9,2.0,1.2696,0.0023,-0.0023,0.105,-0.105,0.034,-0.034,0.036,-0.036
2.1,2.0,2.2,1.3068,0.002,-0.002,0.1079,-0.1079,0.034,-0.034,0.036,-0.036
2.3,2.2,2.4,1.355,0.0023,-0.0023,0.1122,-0.1122,0.034,-0.034,0.036,-0.036
2.5,2.4,2.6,1.408,0.0029,-0.0029,0.1162,-0.1162,0.034,-0.034,0.036,-0.036
2.7,2.6,2.8,1.4371,0.0034,-0.0034,0.1184,-0.1184,0.034,-0.034,0.036,-0.036
2.9,2.8,3.0,1.4617,0.0045,-0.0045,0.1203,-0.1203,0.034,-0.034,0.036,-0.036
3.1,3.0,3.2,1.4692,0.0045,-0.0045,0.1209,-0.1209,0.034,-0.034,0.036,-0.036
3.3,3.2,3.4,1.4767,0.005,-0.005,0.1215,-0.1215,0.034,-0.034,0.036,-0.036
3.5,3.4,3.6,1.4808,0.0057,-0.0057,0.1217,-0.1217,0.034,-0.034,0.036,-0.036
3.7,3.6,3.8,1.4807,0.0063,-0.0063,0.1216,-0.1216,0.034,-0.034,0.036,-0.036
3.9,3.8,4.0,1.498,0.0072,-0.0072,0.1231,-0.1231,0.034,-0.034,0.036,-0.036
4.25,4.0,4.5,1.5138,0.0061,-0.0061,0.1244,-0.1244,0.034,-0.034,0.036,-0.036
4.75,4.5,5.0,1.4787,0.0074,-0.0074,0.1214,-0.1214,0.034,-0.034,0.036,-0.036
5.25,5.0,5.5,1.487,0.009,-0.009,0.1294,-0.1294,0.034,-0.034,0.036,-0.036
5.75,5.5,6.0,1.4637,0.0111,-0.0111,0.126,-0.126,0.034,-0.034,0.036,-0.036
6.25,6.0,6.5,1.4572,0.0137,-0.0137,0.1244,-0.1244,0.034,-0.034,0.036,-0.036
6.75,6.5,7.0,1.4368,0.0164,-0.0164,0.1217,-0.1217,0.034,-0.034,0.036,-0.036
7.5,7.0,8.0,1.4256,0.0149,-0.0149,0.1203,-0.1203,0.034,-0.034,0.036,-0.036
8.5,8.0,9.0,1.4341,0.0206,-0.0206,0.1211,-0.1211,0.034,-0.034,0.036,-0.036
9.5,9.0,10.0,1.3732,0.0264,-0.0264,0.1157,-0.1157,0.034,-0.034,0.036,-0.036
10.5,10.0,11.0,1.3678,0.0317,-0.0317,0.1156,-0.1156,0.034,-0.034,0.036,-0.036
11.5,11.0,12.0,1.409,0.0399,-0.0399,0.1196,-0.1196,0.034,-0.034,0.036,-0.036
12.5,12.0,13.0,1.3492,0.0482,-0.0482,0.1121,-0.1121,0.034,-0.034,0.036,-0.036
13.5,13.0,14.0,1.3463,0.0579,-0.0579,0.1128,-0.1128,0.034,-0.034,0.036,-0.036
14.5,14.0,15.0,1.3577,0.0701,-0.0701,0.116,-0.116,0.034,-0.034,0.036,-0.036
15.5,15.0,16.0,1.2876,0.0801,-0.0801,0.1093,-0.1093,0.034,-0.034,0.036,-0.036
17.0,16.0,18.0,1.3926,0.0745,-0.0745,0.1203,-0.1203,0.034,-0.034,0.036,-0.036
19.0,18.0,20.0,1.3275,0.0982,-0.0982,0.1189,-0.1189,0.034,-0.034,0.036,-0.036
21.0,20.0,22.0,1.4941,0.1313,-0.1313,0.1342,-0.1342,0.034,-0.034,0.036,-0.036
23.0,22.0,24.0,1.328,0.1512,-0.1512,0.1207,-0.1207,0.034,-0.034,0.036,-0.036
26.0,24.0,28.0,1.5073,0.3074,-0.3074,0.1952,-0.1952,0.034,-0.034,0.036,-0.036
30.0,28.0,32.0,1.2023,0.3988,-0.3988,0.1557,-0.1557,0.034,-0.034,0.036,-0.036

%: $p_{T}$ (GeV/c),,,$Q_{pPb}$
'$p_{T}$ (GeV/c)','$p_{T}$ (GeV/c) LOW','$p_{T}$ (GeV/c) HIGH','(10-20%)','stat +','stat -','sys +','sys -','sys,Common syst. unc. on TpA +','sys,Common syst. unc. on TpA -','sys,Common syst. unc. on Normalization +','sys,Common syst. unc. on Normalization -'
0.175,0.15,0.2,0.5324,0.0004,-0.0004,0.0513,-0.0513,0.034,-0.034,0.036,-0.036
0.225,0.2,0.25,0.5216,0.0003,-0.0003,0.0419,-0.0419,0.034,-0.034,0.036,-0.036
0.275,0.25,0.3,0.5223,0.0002,-0.0002,0.042,-0.042,0.034,-0.034,0.036,-0.036
0.32499999999999996,0.3,0.35,0.5293,0.0002,-0.0002,0.0447,-0.0447,0.034,-0.034,0.036,-0.036
0.375,0.35,0.4,0.5395,0.0003,-0.0003,0.0474,-0.0474,0.034,-0.034,0.036,-0.036
0.42500000000000004,0.4,0.45,0.5541,0.0003,-0.0003,0.0509,-0.0509,0.034,-0.034,0.036,-0.036
0.475,0.45,0.5,0.5723,0.0003,-0.0003,0.0522,-0.0522,0.034,-0.034,0.036,-0.036
0.525,0.5,0.55,0.593,0.0003,-0.0003,0.053,-0.053,0.034,-0.034,0.036,-0.036
