mu=pt/2;

    y_min     y_max        pt       direct     frag       sum
 -8.000E-01  8.000E-01  1.600E+01  3.947E+01  7.001E+01  1.095E+02
 -8.000E-01  8.000E-01  1.650E+01  3.411E+01  5.961E+01  9.372E+01
 -8.000E-01  8.000E-01  1.700E+01  2.958E+01  5.090E+01  8.048E+01
 -8.000E-01  8.000E-01  1.750E+01  2.577E+01  4.370E+01  6.947E+01
 -8.000E-01  8.000E-01  1.800E+01  2.252E+01  3.767E+01  6.018E+01
 -8.000E-01  8.000E-01  1.850E+01  1.975E+01  3.255E+01  5.230E+01
 -8.000E-01  8.000E-01  1.900E+01  1.737E+01  2.827E+01  4.564E+01
 -8.000E-01  8.000E-01  1.950E+01  1.532E+01  2.466E+01  3.999E+01
 -8.000E-01  8.000E-01  2.000E+01  1.356E+01  2.157E+01  3.513E+01
 -8.000E-01  8.000E-01  2.050E+01  1.203E+01  1.893E+01  3.096E+01
 -8.000E-01  8.000E-01  2.100E+01  1.071E+01  1.667E+01  2.738E+01
 -8.000E-01  8.000E-01  2.150E+01  9.547E+00  1.471E+01  2.425E+01
 -8.000E-01  8.000E-01  2.200E+01  8.535E+00  1.303E+01  2.157E+01
 -8.000E-01  8.000E-01  2.250E+01  7.648E+00  1.157E+01  1.922E+01
 -8.000E-01  8.000E-01  2.300E+01  6.869E+00  1.029E+01  1.716E+01
 -8.000E-01  8.000E-01  2.350E+01  6.181E+00  9.188E+00  1.537E+01
 -8.000E-01  8.000E-01  2.400E+01  5.575E+00  8.222E+00  1.380E+01
 -8.000E-01  8.000E-01  2.450E+01  5.035E+00  7.366E+00  1.240E+01
 -8.000E-01  8.000E-01  2.500E+01  4.559E+00  6.622E+00  1.118E+01
 -8.000E-01  8.000E-01  2.550E+01  4.135E+00  5.966E+00  1.010E+01
 -8.000E-01  8.000E-01  2.600E+01  3.756E+00  5.382E+00  9.138E+00
 -8.000E-01  8.000E-01  2.650E+01  3.418E+00  4.867E+00  8.285E+00
 -8.000E-01  8.000E-01  2.700E+01  3.116E+00  4.412E+00  7.527E+00
 -8.000E-01  8.000E-01  2.750E+01  2.844E+00  3.995E+00  6.839E+00
 -8.000E-01  8.000E-01  2.800E+01  2.600E+00  3.621E+00  6.221E+00
 -8.000E-01  8.000E-01  2.850E+01  2.381E+00  3.287E+00  5.668E+00
 -8.000E-01  8.000E-01  2.900E+01  2.183E+00  2.991E+00  5.174E+00
 -8.000E-01  8.000E-01  2.950E+01  2.004E+00  2.725E+00  4.729E+00
 -8.000E-01  8.000E-01  3.000E+01  1.842E+00  2.484E+00  4.326E+00
 -8.000E-01  8.000E-01  3.050E+01  1.696E+00  2.269E+00  3.965E+00
 -8.000E-01  8.000E-01  3.100E+01  1.563E+00  2.076E+00  3.640E+00
 -8.000E-01  8.000E-01  3.150E+01  1.443E+00  1.901E+00  3.343E+00
 -8.000E-01  8.000E-01  3.200E+01  1.333E+00  1.744E+00  3.077E+00
 -8.000E-01  8.000E-01  3.250E+01  1.233E+00  1.601E+00  2.834E+00
 -8.000E-01  8.000E-01  3.300E+01  1.141E+00  1.474E+00  2.615E+00
 -8.000E-01  8.000E-01  3.350E+01  1.058E+00  1.356E+00  2.414E+00
 -8.000E-01  8.000E-01  3.400E+01  9.815E-01  1.249E+00  2.231E+00
 -8.000E-01  8.000E-01  3.450E+01  9.113E-01  1.155E+00  2.066E+00
 -8.000E-01  8.000E-01  3.500E+01  8.474E-01  1.066E+00  1.914E+00
